,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,hour,day,day_of_week,month,year,is_weekend
temperature_2m,1.0,-0.5657737676578283,0.0179390917671957,-0.7683219894644634,0.14802195017348632,-0.10194852791970806,-0.573392606833729,-0.3226762076450998,-0.5342805242465687,-0.458907715946413,-0.3532890364268551,0.584699305558809,0.33712029995903836,0.21392547124198077,0.017128708809079227,0.0009265763173025114,0.07488321360342425,0.061181159632848425,0.000377319938465949
relative_humidity_2m,-0.5657737676578283,1.0,0.12074773856841474,0.17905348641378238,-0.14094669852227953,-0.21861621957139724,0.42732841225449636,0.27996821472292827,0.34397392835140933,0.35493172341251256,0.13642531176225556,-0.5747022073782707,-0.18844895290124544,-0.2683298357289661,0.008218981944870411,0.004093196930621359,0.18995503387998217,-0.10220766117204261,0.0046812795511183315
precipitation,0.0179390917671957,0.12074773856841474,1.0,-0.08733933994527229,0.12713678428075348,-0.06529348260687799,-0.07478541181014174,-0.06633686546726038,-0.07167844105992434,-0.07707073707739362,-0.0838930155923159,0.003120989419268404,0.0008073272315739439,-0.0403769012220513,0.007677892136826368,-0.010850649148139088,0.003863970913101862,0.018231875489475507,-0.00518488812225297
surface_pressure,-0.7683219894644634,0.17905348641378238,-0.08733933994527229,1.0,-0.18633264307022257,0.2317524238741819,0.45971716848290195,0.23249311976612913,0.43350691645923256,0.3054305299454301,0.4319241538537655,-0.2080988719152835,-0.3308672702428791,-0.01342959827239187,-0.020692803376386206,-0.0023135022840962403,0.0007934829835074886,-0.0813972033918701,-0.0031898244482979235
wind_speed_10m,0.14802195017348632,-0.14094669852227953,0.12713678428075348,-0.18633264307022257,1.0,-0.04517455669452244,-0.31799662320827904,-0.17339951105680837,-0.3337317245827349,-0.28461429945544925,-0.29038086431137816,0.06240406531447005,0.11515608780694571,0.013879321177576929,-0.023056282840656504,-0.016911055311801558,-0.16462712452822956,-0.15465093308619202,-0.020096037921074734
wind_direction_10m,-0.10194852791970806,-0.21861621957139724,-0.06529348260687799,0.2317524238741819,-0.04517455669452244,1.0,-0.0367709204905688,-0.08076142170793132,0.0027677848871239022,0.005385972319945518,0.07250158905073294,0.07923956488394106,-0.09307845726338852,0.046751290988724784,-0.03128260241199433,-0.018179988014538025,0.017884380614377145,-0.036710239819485874,-0.006922412972672941
pm2_5,-0.573392606833729,0.42732841225449636,-0.07478541181014174,0.45971716848290195,-0.31799662320827904,-0.0367709204905688,1.0,0.8358199444641115,0.7700652253506387,0.6821154615397504,0.7237403938120779,-0.3691230091364958,-0.036837493310239576,-0.049733739508833044,0.03254350976190844,0.009082253840597253,0.12277897630430881,-0.0869064639814127,-0.0008087612270281388
pm10,-0.3226762076450998,0.27996821472292827,-0.06633686546726038,0.23249311976612913,-0.17339951105680837,-0.08076142170793132,0.8358199444641115,1.0,0.5704920689583609,0.5064565841925738,0.5570941438676922,-0.2015612146962443,0.4585262848900605,-0.03347281746777965,0.01439954510645092,0.013815131725891664,0.04722389899429215,-0.12044580579902155,-0.0020807758734529076
carbon_monoxide,-0.5342805242465687,0.34397392835140933,-0.07167844105992434,0.43350691645923256,-0.3337317245827349,0.0027677848871239022,0.7700652253506387,0.5704920689583609,1.0,0.8283930111772285,0.6374025585351074,-0.4605135027536966,-0.18976876116367655,0.05628957237071806,-0.0018578867160092315,0.007301262469985535,0.07714423422893729,-0.05578404058756809,0.003611892931502691
nitrogen_dioxide,-0.458907715946413,0.35493172341251256,-0.07707073707739362,0.3054305299454301,-0.28461429945544925,0.005385972319945518,0.6821154615397504,0.5064565841925738,0.8283930111772285,1.0,0.5741746894718431,-0.6423586022583039,-0.19832740604669008,0.11997412756887785,0.006432983427891998,0.0014573533431760954,0.07964794553523687,-0.1361215706739208,0.001280521015039982
sulphur_dioxide,-0.3532890364268551,0.13642531176225556,-0.0838930155923159,0.4319241538537655,-0.29038086431137816,0.07250158905073294,0.7237403938120779,0.5570941438676922,0.6374025585351074,0.5741746894718431,1.0,-0.10271070150497617,-0.15576118641278575,0.1082081019782694,0.043416337074837844,0.004270373224602852,0.20307393293655646,-0.2611835091381138,-0.0009669989859150036
ozone,0.584699305558809,-0.5747022073782707,0.003120989419268404,-0.2080988719152835,0.06240406531447005,0.07923956488394106,-0.3691230091364958,-0.2015612146962443,-0.4605135027536966,-0.6423586022583039,-0.10271070150497617,1.0,0.22568386449042954,0.23189277308069417,0.00545677917066696,-5.055396599400159e-05,-0.03234317886749901,0.05870101435694225,-0.00013966006310244897
dust,0.33712029995903836,-0.18844895290124544,0.0008073272315739439,-0.3308672702428791,0.11515608780694571,-0.09307845726338852,-0.036837493310239576,0.4585262848900605,-0.18976876116367655,-0.19832740604669008,-0.15576118641278575,0.22568386449042954,1.0,0.01578451007435231,-0.01672530931021089,0.02071786993792114,-0.08209565405743877,0.18540287333770486,0.00019602351978029232
hour,0.21392547124198077,-0.2683298357289661,-0.0403769012220513,-0.01342959827239187,0.013879321177576929,0.046751290988724784,-0.049733739508833044,-0.03347281746777965,0.05628957237071806,0.11997412756887785,0.1082081019782694,0.23189277308069417,0.01578451007435231,1.0,-0.0003075185015965618,2.0345459887992217e-17,6.98467516432456e-05,-0.00040202775987795164,-0.00014518043420924686
day,0.017128708809079227,0.008218981944870411,0.007677892136826368,-0.020692803376386206,-0.023056282840656504,-0.03128260241199433,0.03254350976190844,0.01439954510645092,-0.0018578867160092315,0.006432983427891998,0.043416337074837844,0.00545677917066696,-0.01672530931021089,-0.0003075185015965618,1.0,-0.00378962345812134,0.010914849168939278,-0.008724998790626994,-0.005137539416144244
day_of_week,0.0009265763173025114,0.004093196930621359,-0.010850649148139088,-0.0023135022840962403,-0.016911055311801558,-0.018179988014538025,0.009082253840597253,0.013815131725891664,0.007301262469985535,0.0014573533431760954,0.004270373224602852,-5.055396599400159e-05,0.02071786993792114,2.0345459887992217e-17,-0.00378962345812134,1.0,0.004747239467589995,-0.003995047313898413,0.7905958577016969
month,0.07488321360342425,0.18995503387998217,0.003863970913101862,0.0007934829835074886,-0.16462712452822956,0.017884380614377145,0.12277897630430881,0.04722389899429215,0.07714423422893729,0.07964794553523687,0.20307393293655646,-0.03234317886749901,-0.08209565405743877,6.98467516432456e-05,0.010914849168939278,0.004747239467589995,1.0,-0.21394324721902083,0.005378131229789751
year,0.061181159632848425,-0.10220766117204261,0.018231875489475507,-0.0813972033918701,-0.15465093308619202,-0.036710239819485874,-0.0869064639814127,-0.12044580579902155,-0.05578404058756809,-0.1361215706739208,-0.2611835091381138,0.05870101435694225,0.18540287333770486,-0.00040202775987795164,-0.008724998790626994,-0.003995047313898413,-0.21394324721902083,1.0,-0.002459343495723007
is_weekend,0.000377319938465949,0.0046812795511183315,-0.00518488812225297,-0.0031898244482979235,-0.020096037921074734,-0.006922412972672941,-0.0008087612270281388,-0.0020807758734529076,0.003611892931502691,0.001280521015039982,-0.0009669989859150036,-0.00013966006310244897,0.00019602351978029232,-0.00014518043420924686,-0.005137539416144244,0.7905958577016969,0.005378131229789751,-0.002459343495723007,1.0
