,count,mean,std,min,25%,50%,75%,max
temperature_2m,29899.0,23.483481052878023,8.464005570853095,1.1,17.0,24.9,29.7,46.5
relative_humidity_2m,29899.0,65.89397638717014,22.027820927498595,5.0,50.0,69.0,84.0,100.0
precipitation,29899.0,0.08564166025619585,0.6942619565771919,0.0,0.0,0.0,0.0,19.9
surface_pressure,29899.0,983.4616341683669,6.795706405175153,965.4,977.8,983.9,989.3,1000.2
wind_speed_10m,29899.0,7.025739991304057,4.004192859446073,0.0,4.2,6.5,8.9,37.2
wind_direction_10m,29899.0,182.0323422188033,107.89186817633191,1.0,90.0,158.0,291.0,360.0
pm10,29899.0,105.99954179069533,71.87034155925019,0.6,57.7,85.7,134.6,890.3
pm2_5,29899.0,70.83336900899697,48.8456924501965,0.5,37.5,55.2,88.5,365.1
carbon_monoxide,29899.0,1453.4740626776816,1444.7286289518124,59.0,524.0,936.0,1831.0,12926.0
nitrogen_dioxide,29899.0,44.460216060737814,39.30919172726988,0.0,14.3,32.2,65.4,317.7
sulphur_dioxide,29899.0,18.346225626275128,11.855420339359632,0.2,10.4,14.7,22.4,97.9
ozone,29899.0,86.95795846014917,66.15444910452341,-7.0,32.0,69.0,139.0,332.0
dust,29899.0,34.46045018228035,82.30061723650407,0.0,3.0,9.0,28.0,1306.0
latitude,29899.0,31.549700000000012,1.0658319276616852e-14,31.5497,31.5497,31.5497,31.5497,31.5497
longitude,29899.0,74.3436,0.0,74.3436,74.3436,74.3436,74.3436,74.3436
hour,29899.0,11.501588681895715,6.921766589329539,0.0,6.0,12.0,18.0,23.0
day,29899.0,15.776447372821833,8.7897711423885,1.0,8.0,16.0,23.0,31.0
day_of_week,29899.0,3.0,2.0002006722525496,0.0,1.0,3.0,5.0,6.0
month,29899.0,6.945249004983444,3.46607736611366,1.0,4.0,7.0,10.0,12.0
year,29899.0,2023.7595237298906,1.0045547421847871,2022.0,2023.0,2024.0,2025.0,2025.0
is_weekend,29899.0,0.28576206562092377,0.45178416759228834,0.0,0.0,0.0,1.0,1.0
