,pm2_5
pm2_5,1.0
pm10,0.8358199444641115
carbon_monoxide,0.7700652253506387
sulphur_dioxide,0.7237403938120779
nitrogen_dioxide,0.6821154615397504
surface_pressure,0.45971716848290195
relative_humidity_2m,0.42732841225449636
month,0.12277897630430881
day,0.03254350976190844
day_of_week,0.009082253840597253
is_weekend,-0.0008087612270281388
wind_direction_10m,-0.0367709204905688
dust,-0.036837493310239576
hour,-0.049733739508833044
precipitation,-0.07478541181014174
year,-0.0869064639814127
wind_speed_10m,-0.31799662320827904
ozone,-0.3691230091364958
temperature_2m,-0.573392606833729
